"lat","lon","nl_mean","nl_min","nl_max","nl_median","nl_sd","cluster","wealthscore","n"
14.392887,121.041799,25.2473572938689,3,63,22,19.7996350760658,706,83469.0769230769,13
14.394134,121.039691,25.7445887445887,3,63,22,19.7666353495205,707,158906.166666667,12
14.40844,121.051324,27.025,3,63,22.5,21.6686963887786,701,65948.8571428571,7
14.41228,120.966313,32.0076923076923,3,63,29,19.7449662924417,144,17669.5714285714,7
14.415239,120.986186,32.0839160839161,4,63,29,20.059198546071,145,33770.8333333333,6
14.417933,120.989945,32.004662004662,4,63,29,20.1534991903838,150,158194.466666667,30
14.420735,121.027454,31.3342105263158,4,63,29,21.7976152300681,702,123563.8,10
14.422903,120.976922,33.5861244019139,4,63,32,20.3562633330915,148,142593.866666667,15
14.424883,121.035041,30.8827751196172,4,63,28,22.184816462817,704,90400.5,2
14.433067,121.009803,34.031941031941,4,63,33,21.2999100790549,700,205885.5,2
14.434269,121.047815,31.3587223587224,4,63,28,22.9896971213861,703,52474.9285714286,14
14.439479,121.013641,34.6565656565657,4,63,33,21.6044588066289,699,160498.25,4
14.441609,121.010636,34.6565656565657,4,63,33,21.6044588066289,712,197045.0625,16
14.443646,120.9565,35.4974747474747,3,63,35,21.0625949255869,149,130698.925925926,27
14.450442,121.048495,33.1584415584416,4,63,31,23.2107270832174,709,-3847.45833333333,24
14.450988,120.587207,5.03475935828877,0,28,4,5.24891106499336,72,3369.27777777778,18
14.453338,120.958147,35.9628571428571,3,63,34,21.3852985641696,147,58230.5882352941,17
14.453752,120.995001,36.7823529411765,6,63,36,20.9836215184238,698,75946.6666666667,3
14.457529,121.018678,35.2513368983957,5,63,32.5,21.9788086050752,713,48471.8947368421,19
14.458886,121.033143,34.0519480519481,4,63,29,22.477359039093,715,36518.4444444444,27
14.461855,120.997398,36.1676470588235,6,63,33,21.2634440635657,695,82058.85,20
14.464113,121.004183,35.6363636363636,5,63,32,21.5175310691021,717,95079.8518518519,27
14.464288,120.943733,35.1042780748663,3,63,32,22.3331425864883,146,102380.941176471,17
14.464588,121.053885,33.5347593582888,4,63,29.5,23.2073673316774,708,28477.9375,16
14.466393,121.190721,10.6253443526171,3,58,7,10.6616790463921,191,53516.6842105263,19
14.466794,120.987334,35.8663101604278,4,63,32,21.3416806695646,697,181119.333333333,6
14.470858,121.011993,36.0878787878788,6,63,32,21.5586040564004,716,45444.7692307692,13
14.471857,120.998501,35.9889807162534,6,63,31,21.4914833396979,696,93926.125,8
14.475636,121.027938,35.8323863636364,5,63,33,22.2652432368772,714,112705.444444444,18
14.478451,120.979862,36.425,4,63,32,21.5638005036916,694,65945.4117647059,17
14.487818,121.213673,9.296875,3,40,8,5.55417797924035,198,93215.5882352941,17
14.492926,121.300381,6.05278592375367,0,17,4,3.78349739129273,203,63900.5,18
14.495946,121.027019,36.5032258064516,6,63,32,21.7185212276936,719,158816.5,2
14.495957,121.035706,36.3161290322581,5,63,32,21.9029205065144,718,63639.7058823529,17
14.497825,121.295918,6.37272727272727,0,18,5,4.02241234211683,204,75592.3888888889,18
14.508381,121.064077,38.1636363636364,6,63,37,21.6896571401728,693,45392.0769230769,13
14.511293,121.068439,38.8275862068966,6,63,41,21.6840895532361,692,89399.3333333333,12
14.512484,121.071661,38.3833333333333,7,63,37,21.3975678193614,691,73061.6666666667,9
14.531518,121.21872,14.7142857142857,3,60,10,12.3030222105868,202,87037.8235294118,17
14.539161,121.068546,46.7337662337662,9,63,56.5,18.2990155509552,688,96184.2307692308,13
14.545031,121.013816,45.8481481481481,8,63,59,20.6902069101642,722,86799,12
14.546928,121.064027,49.6565656565657,11,63,60,16.575071816828,685,142124,2
14.546955,121.073478,49.1178451178451,11,63,60,17.0479129479633,689,87576.25,8
14.548606,121.065953,49.6565656565657,11,63,60,16.575071816828,684,118142.666666667,3
14.548877,121.084214,48.1279461279461,11,63,60,17.7647101252716,640,50432.5,12
14.549059,120.99687,44.5488215488216,6,63,60,22.2512937740724,720,132209.785714286,14
14.55021,121.075714,49.1178451178451,11,63,60,17.0479129479633,690,88940,5
14.552227,121.0227,47.7037037037037,8,63,60,19.4916757982844,683,187195.461538462,13
14.553664,121.124198,40.4962962962963,8,63,41,20.180182436818,193,100238.230769231,13
14.556847,120.984961,42.7239057239057,5,63,60,23.9964355650776,580,79065.4615384615,13
14.559659,121.141747,36.952861952862,6,63,36,20.8820157386346,205,76156.5833333333,12
14.560923,121.036695,51.8601398601399,10,63,62,16.1254300194973,687,102640,3
14.561496,121.13204,40.2132867132867,8,63,40,20.0431105116989,206,61132.1666666667,12
14.561963,121.035572,53.0653846153846,10,63,62,15.0481708455694,686,153120.75,4
14.566343,121.133837,39.6538461538462,7,63,39.5,20.2471337169409,192,75305.2142857143,14
14.570726,121.104218,48.8576923076923,12,63,59,16.449259130068,642,130883,6
