"cluster","lat","lon","wealthscore","n"
1,18.251575,120.633935,59881.4090909091,22
2,18.498244,120.636986,63123.9,20
3,17.945278,120.515298,-39077.4,20
4,18.109173,120.703826,60303.7647058823,17
5,18.096378,120.551433,60717.6666666667,21
6,17.615449,120.452362,-512.8125,16
7,17.214571,120.464938,17429.0555555556,18
8,17.132179,120.693018,6970.83333333333,18
9,17.11737,120.565615,-82655,18
10,17.595416,120.358375,68430.2142857143,14
11,16.751919,120.34068,19774.7647058824,17
12,16.885533,120.425005,37434.4210526316,19
13,16.869288,120.452231,20647.2352941176,17
14,16.907319,120.408428,52283.9,20
15,16.911396,120.409149,-62428.3684210526,19
16,16.510219,120.352511,70837.8666666667,15
17,15.846516,120.257558,-22295.4705882353,17
18,16.164933,120.013738,-54921.2105263158,19
19,15.87301,120.399598,35804.6666666667,12
20,16.098807,120.558618,62281.1875,16
21,16.375667,119.859798,90524.2352941177,17
22,16.069979,120.343753,20430.1176470588,17
23,16.017847,120.317514,63746.2142857143,14
24,16.04562,120.350589,58467.4666666667,15
25,15.818036,119.965458,-12129.5555555556,18
26,15.887508,120.415793,42437.7619047619,21
27,15.860096,120.514003,-10260.25,16
28,15.881293,120.505574,-25899.8125,16
29,15.901157,120.620684,43874.5,18
30,15.946581,120.379196,-12746.2142857143,14
31,16.155761,120.429186,3519.77777777778,18
32,16.205092,120.417975,-28233.9523809524,21
33,16.063239,120.44304,44765.0625,16
34,16.079847,120.780156,27760.6875,16
35,15.988582,120.469924,-4368.6875,16
36,15.989175,120.546529,-336.826086956522,23
37,15.947992,120.576088,46679.7647058823,17
38,18.357608,121.455713,-40032.1111111111,18
39,18.242126,121.517636,-41802.375,16
40,17.867524,121.716958,-60203,17
41,18.263408,121.647384,10357.1111111111,18
42,18.600484,121.116566,-14844.1666666667,18
43,17.535376,121.736485,-37898.7647058823,17
44,18.078169,121.938405,-84557.0588235294,17
45,18.282511,122.037792,19542.7142857143,14
46,17.775477,121.733887,18254.8823529412,17
47,18.127286,121.680947,-32405.6,20
48,18.47233,121.365936,-17189.2352941176,17
49,17.61247,121.722841,142314.5625,16
50,16.858164,121.696055,7031.47058823529,17
51,17.081973,121.705887,18919.4117647059,17
52,17.024435,121.696314,38249.8235294118,17
53,16.877821,121.778735,6565.47058823529,17
54,16.834535,121.800552,1612.47058823529,17
55,16.936343,121.775669,102686.8,15
56,16.675862,121.687821,-58974.9444444444,18
57,17.088581,121.975034,-46159.5,18
58,17.06017,121.992895,-31399.2631578947,19
59,16.985993,121.823365,12228.4444444444,18
60,17.104807,121.621988,-15406.8461538462,13
61,16.740956,121.549973,10708.6875,16
62,16.95604,122.068794,-97834.2,20
63,16.911178,121.627536,30319.35,20
64,16.864843,121.792559,63967.4375,16
65,16.519996,121.117474,-3938.55,20
66,16.482266,121.106946,75339.4285714286,21
67,16.608027,121.329583,-36534.4,15
68,16.554965,121.185189,45495.375,16
69,16.567443,121.495224,-56173.5333333333,15
70,16.362449,121.722418,3202.42105263158,19
71,14.872015,120.445534,84663,16
72,14.450988,120.587207,3369.27777777778,18
73,14.727953,120.524365,11648.9,20
74,14.630746,120.535191,37336.9444444444,18
75,14.948466,120.926527,91724.1428571429,14
76,14.899901,120.914683,97024.2142857143,14
77,14.897745,120.742078,55376.1176470588,17
78,14.824059,120.889196,36913.7142857143,21
79,14.829536,120.858391,71468.5714285714,14
80,14.871703,120.750227,67353.5333333333,15
81,14.78005,121.01832,100805.791666667,24
82,14.7359,120.941207,42408.68,25
83,14.735994,120.948593,65046.9333333333,30
84,14.905338,121.154773,17223.0555555556,18
85,14.916725,120.828801,70374.1428571429,21
86,14.849242,121.053198,43859.5555555556,18
87,14.81729,121.075142,116400.928571429,14
88,14.852737,121.076234,49433.3571428571,14
89,14.802791,121.046561,19334.7333333333,15
90,14.790742,121.042691,41130.1176470588,17
91,14.878333,120.977495,-2737.2,10
92,14.868525,121.005021,60925.5714285714,14
93,15.689414,121.240378,-51807.55,20
94,15.516478,120.950924,3014.07692307692,13
95,15.495762,120.953323,102254.833333333,12
96,15.250789,120.863325,50981.9473684211,19
97,15.955288,121.067581,28909.875,16
98,15.612294,121.074852,-12931.3888888889,18
99,15.732034,120.911215,-1700.52941176471,17
100,15.262308,120.907466,30614.3333333333,15
101,15.792136,120.996047,88723.1428571429,14
102,15.741243,121.023,22277.2941176471,17
103,15.347954,120.930004,22746.1666666667,18
104,15.581186,120.969671,30353.0555555556,18
105,15.145607,120.607592,74552.25,8
106,15.148372,120.585035,63084.25,4
107,15.141864,120.587138,130387.153846154,13
108,15.153243,120.603527,91690.7222222222,18
109,14.923447,120.728837,42947.0625,16
110,14.977637,120.480143,34488.5789473684,19
111,14.974446,120.672695,15816.5294117647,17
112,14.969186,120.643018,131497.866666667,15
113,14.913144,120.636155,22223.25,16
114,14.973196,120.626788,55497.8666666667,15
115,14.836803,120.691375,39265.3529411765,17
116,15.183709,120.642921,65195.4444444444,9
117,14.970698,120.689265,21327.2,15
118,15.066698,120.64333,114615.375,16
119,15.324934,120.588453,38191.5625,16
120,15.645257,120.358006,14016.8823529412,17
121,15.728354,120.578672,18909.9444444444,18
122,15.449618,120.655278,34815.9375,16
123,15.420073,120.585281,89663.6875,16
124,15.502992,120.553643,53620.9333333333,15
125,15.488139,120.550163,-1068.23529411765,17
126,15.256564,120.227934,-131113.833333333,12
127,15.079076,120.071475,10983.6666666667,21
128,14.858667,120.252893,34373.4285714286,7
129,14.852614,120.277053,46978.9473684211,19
130,15.791801,121.505299,-38476.5294117647,17
131,13.928999,120.952239,98625.0833333333,12
132,13.983901,120.74702,72798.8333333333,18
133,13.75307,121.062666,132467.611111111,18
134,13.784862,121.005758,60258.8125,16
135,13.790333,121.135426,53054.1111111111,18
136,14.041745,120.958027,17307.4210526316,19
137,13.94051,121.169341,96673.1428571429,14
138,13.627829,121.308543,-31166.4,15
139,14.029506,121.112908,70954.2631578947,19
140,13.752089,121.378644,-71226.8125,16
141,14.108851,121.028046,60382.0952380952,21
142,14.04709,121.06669,40018.8823529412,17
143,14.096027,121.140879,118093.421052632,19
144,14.41228,120.966313,17669.5714285714,7
145,14.415239,120.986186,33770.8333333333,6
146,14.464288,120.943733,102380.941176471,17
147,14.453338,120.958147,58230.5882352941,17
148,14.422903,120.976922,142593.866666667,15
149,14.443646,120.9565,130698.925925926,27
150,14.417933,120.989945,158194.466666667,30
151,14.333422,120.965069,47888.6315789474,19
152,14.339618,120.947648,90853.0666666667,15
153,14.310523,120.931586,125769.666666667,15
154,14.342775,120.951213,71984.9473684211,19
155,14.285454,120.903853,42073.125,16
156,14.330253,120.772564,51750.724137931,29
157,14.114487,120.966141,63298.35,20
158,14.377965,120.873284,53347.6,20
159,14.315432,121.040408,51390.8666666667,15
160,14.348659,121.084201,86046.75,4
161,14.35001,121.089007,58163.6666666667,9
162,14.328918,121.05422,114295.642857143,14
163,14.33505,121.094997,90935.1428571429,21
164,14.216797,121.127632,59652.5,6
165,14.195,121.110374,104420.7,10
166,14.179892,121.165623,66893.3928571429,28
167,14.169548,121.136588,65975.5333333333,15
168,14.168854,121.1076,72352.0526315789,19
169,14.332319,121.446791,47768.5882352941,17
170,14.221709,121.412236,21949.4545454545,22
171,14.257848,121.453691,61626.5333333333,15
172,14.370476,121.397011,31968.4615384615,13
173,14.239108,121.379447,66307.4285714286,14
174,14.068644,121.302165,91853.25,16
175,14.264091,121.425954,69538.625,16
176,14.291207,121.110965,79906.3888888889,18
177,13.962938,121.92012,35020.8823529412,17
178,13.898934,121.452,14311.5625,16
179,13.861456,122.053637,-81825.3529411765,17
180,13.93478,121.62875,88864.5,12
181,13.968474,121.680693,83183.1333333333,15
182,13.846928,122.075409,-95879.1333333333,15
183,13.749816,122.130873,-92345.2941176471,17
184,13.897825,121.313067,23643.6666666667,15
185,13.427869,122.481003,-49182.0625,16
186,13.972089,121.52615,-13093.1764705882,17
187,13.981984,121.320483,-15594.625,16
188,14.614841,121.123146,117124.5,8
189,14.632008,121.153826,155167,11
190,14.603604,121.284889,-5303,17
191,14.466393,121.190721,53516.6842105263,19
192,14.566343,121.133837,75305.2142857143,14
193,14.553664,121.124198,100238.230769231,13
194,14.621936,121.120582,85046,15
195,14.596749,121.123873,141928.875,16
196,14.574385,121.130718,91471.7857142857,14
197,14.572541,121.127625,65606.8333333333,18
198,14.487818,121.213673,93215.5882352941,17
199,14.299849,121.310417,2419.82352941176,17
200,14.723128,121.122525,85095.5555555556,9
201,14.734441,121.130975,88910.4,10
202,14.531518,121.21872,87037.8235294118,17
203,14.492926,121.300381,63900.5,18
204,14.497825,121.295918,75592.3888888889,18
205,14.559659,121.141747,76156.5833333333,12
206,14.561496,121.13204,61132.1666666667,12
207,14.578746,121.133078,97355.3125,16
208,13.35981,121.862668,-41647.6470588235,17
209,13.446299,121.981131,-21756.0666666667,15
210,13.421976,122.032023,-85379.5333333333,15
211,13.439069,120.680213,-32357,16
212,0,0,4628.41176470588,48
213,12.23242,121.230329,-137689.833333333,12
214,12.347897,121.150287,-45245.3076923077,13
215,12.839115,120.761314,5144.55555555556,18
216,13.359284,121.054206,-32131.3571428571,14
217,12.853171,121.453643,11448,10
218,12.873552,121.451248,-6830.70588235294,17
219,12.646417,121.479689,-47530.1875,16
220,12.878309,121.427599,-2415.11764705882,17
221,12.562693,121.495148,-75058.9523809524,21
