"loc","nl_mean","nl_min","nl_max","nl_sd","consumption"
"Abra",0.11708409692527,0,10,0.899612571540279,131182
"Agusan del Norte",1.67033874965574,0,51,5.42726499881024,150423
"Agusan del Sur",0.213435625061473,0,17,1.23449839887876,125776
"Aklan",1.04995102840353,0,41,3.4321951067659,147166
"Albay",3.0935080405003,0,53,6.33633432675486,145254
"Antique",0.59623861298854,0,37,2.66099660942903,118310
"Apayao",0.00934967795553709,0,5,0.216033955881783,94349
"Aurora",0.0973001871157445,0,7,0.728448415530022,149194
"Basilan",0.447607510599637,0,12,1.60948289261374,111771
"Bataan",8.63615690733371,0,47,8.80270217913494,243785
"Batanes",0.181818181818182,0,5,0.92138251072777,127706
"Batangas",9.69838056680162,0,59,10.3739802604021,199375
"Benguet",6.17024361948956,0,60,14.9545978290042,239574
"Biliran",0.775075987841945,0,9,1.94862135482392,167745
"Bohol",1.99422310756972,0,52,3.90627474213629,140850
"Bukidnon",0.741621019403955,0,33,2.7229880648983,114130
"Bulacan",11.7780458383595,0,63,15.8545675671456,219674
"Cagayan",0.507497955103154,0,29,2.26410486179123,130306
"Caloocan",57.1363636363636,24,63,9.07229595588708,246134
"Camarines Norte",0.864282968089196,0,19,2.42273620645173,147288
"Camarines Sur",2.03815887156644,0,55,5.26055860714648,151761
"Camiguin",0.292517006802721,0,7,1.23216773576543,130451
"Capiz",0.765950920245399,0,32,3.28461786193938,172634
"Catanduanes",0.403795466526094,0,11,1.57523902690965,151334
"Cavite",30.0992112909921,0,63,21.6565927646761,263805
"Cebu",7.63445791025221,0,63,13.7545234019225,175753
"Compostela Valley",0.433240334794739,0,16,1.73200106474882,139394
"Cotabato City",4.79487179487179,0,46,10.2022790196011,157346
"Davao del Norte",2.57574281539211,0,52,5.78403329567774,146640
"Davao del Sur",3.86012151339409,0,63,10.9811536025046,164727
"Davao Oriental",0.217484713270534,0,20,1.45997793017034,114890
"Eastern Samar",0.255130860478253,0,9,1.23013768953982,103454
"Guimaras",1.27489481065919,0,10,2.38797332419475,161045
"Ifugao",0.121895424836601,0,7,0.788013547021636,112412
"Ilocos Norte",2.6044725547775,0,52,7.57010362681976,182475
"Ilocos Sur",2.26645404465062,0,30,4.3345496188407,152783
"Iloilo",4.89738552213994,0,62,11.2851179996601,179248
"Isabela",0.868437598239547,0,31,2.59728218672572,135627
"Isabela City",1.59230769230769,0,12,2.89906429810962,167742
"Kalinga",0.130888575458392,0,9,0.880127302796217,157711
"La Union",2.7378362907842,0,37,4.24654896752063,159299
"Laguna",12.9246612466125,0,62,16.1681414516708,245286
