"loc","nl_mean","nl_min","nl_max","nl_sd","consumption"
"Lanao del Norte",1.32435563278309,0,55,4.97987612205221,141188
"Lanao del Sur",1.02017040514693,0,25,3.61883142880232,110739
"Las Pinas",62.8157894736842,61,63,0.456500386779075,318248
"Leyte",3.27223646915913,0,55,8.56661341612872,143557
"Maguindanao",0.914772727272727,0,46,4.80308559596969,106330
"Makati",63,63,63,0,351594
"Malabon",60.6315789473684,35,63,6.69336758221475,242547
"Mandaluyong",63,63,63,0,278718
"Manila",62.9433962264151,62,63,0.233295317934376,317572
"Marikina",62.5555555555556,56,63,1.45002210416397,316355
"Marinduque",0.733333333333333,0,10,1.91361973912719,148792
"Masbate",0.17352522709861,0,25,1.28763598525314,112525
"Misamis Occidental",1.42225859247136,0,24,3.53534455558676,101416
"Misamis Oriental",4.23486506199854,0,63,11.5413855256499,170454
"Mountain Province",0,0,0,0,132030
"Muntinlupa",60.7708333333333,43,63,3.28918009141471,294498
"Navotas",42.3,15,63,19.0732506114949,245124
"Negros Occidental",3.34530415663281,0,62,7.8011355522681,146642
"Negros Oriental",2.03875968992248,0,56,4.91202531087867,126901
"North Cotabato",0.323027718550107,0,20,1.61258300203614,126934
"Northern Samar",0.278240190249703,0,19,1.68290637786038,113743
"Nueva Ecija",3.42683456361268,0,47,5.78121502317351,167870
"Nueva Vizcaya",0.494267250364811,0,14,1.69512697233339,162175
"Occidental Mindoro",0.174719101123596,0,21,1.34907737136401,139418
"Oriental Mindoro",0.573980582524272,0,26,2.34561418060615,132465
"Palawan",0.300213121363977,0,48,2.29737990930195,140015
"Pampanga",14.321641529288,0,61,13.5721341806186,237242
"Pangasinan",4.36790087033486,0,50,6.04710601706914,149178
"Paranaque",62.9444444444444,61,63,0.301985046903748,381404
"Pasay",63,63,63,0,272930
"Pasig",62.5,54,63,1.79682259240344,311935
"Pateros",63,63,63,0,361963
"Quezon",1.36098911590605,0,49,3.92007055193224,130673
"Quezon City",59.2388059701493,23,63,9.52904436799222,334339
"Quirino",0.236590546999469,0,16,1.33102700491575,136764
"Rizal",13.5784865540963,0,63,16.9448029021483,281205
"Romblon",0.154275092936803,0,7,0.89864039408372,105152
"Samar",0.373888559573207,0,21,1.9397199761613,100745
"San Juan",63,63,63,0,325999
"Sarangani",0.389121338912134,0,17,1.69263823127601,118620
"Siquijor",1.24009900990099,0,9,2.41875960051036,159708
"Sorsogon",0.995321637426901,0,17,2.45997157781746,124249
"South Cotabato",3.07740300253461,0,62,8.23717590495883,167132
"Southern Leyte",0.867041198501873,0,19,2.57389522471488,133431
"Sultan Kudarat",0.437440305635148,0,28,2.09573423122314,99139
"Sulu",0.200406917599186,0,12,1.24974087379608,109815
"Surigao del Norte",1.35084280674245,0,35,3.31360804999717,134810
"Surigao del Sur",0.626999609832228,0,23,2.10721516625092,141385
"Taguig",59,27,63,7.0845237095006,281572
"Tarlac",5.52133333333333,0,57,7.51170143161954,198528
"Valenzuela",61.1607142857143,42,63,4.29704670554212,267119
"Zambales",2.41823412259349,0,62,7.06460946133232,163023
"Zamboanga del Norte",0.616553169198533,0,38,2.72323596175469,101618
"Zamboanga del Sur",1.68401075438874,0,63,6.22249917351963,121802
"Zamboanga Sibugay",0.552280484021098,0,15,1.8513119426206,112596
