"cluster","lat","lon","wealthscore","n"
159,16.29035,120.62326,45725.3333333333,3
160,16.79717,121.12579,84152.7894736842,19
161,16.99296,121.53039,-81236.84,25
162,16.78775,120.94894,-96870.1764705882,17
163,17.54975,121.50539,-41577.1176470588,17
164,17.45315,121.44234,-47992.5714285714,21
165,17.19899,121.12254,-91688.2,15
166,17.03562,120.8736,-22982.8571428571,14
167,16.92545,120.85009,-31535.875,16
168,16.84546,120.90008,13349.2631578947,19
169,18.32617,120.9887,-90770,12
170,18.28032,121.36163,-2063.52941176471,17
171,18.00386,120.7332,16652.8823529412,17
172,18.23524,120.5961,107886,16
173,18.61074,120.8387,-11707.9,20
174,18.11413,120.45761,-20556.9333333333,15
175,18.29821,120.6331,31117.1764705882,17
176,17.58017,120.35415,98164.85,20
177,17.40379,120.52174,-14806.3157894737,19
178,17.74036,120.4666,79401.7368421053,19
179,16.87103,120.39168,49228.15,20
180,17.87758,120.437,1292.57894736842,19
181,16.72125,120.33962,67762.0555555556,18
182,16.87823,120.49776,37476.2941176471,17
183,16.88747,120.39454,-4092.8,20
184,16.52242,120.38251,12249.5882352941,17
185,16.63076,120.3225,42930.7,20
186,16.31781,120.44073,-29633.6923076923,13
187,16.01501,120.63801,-3262.17647058824,17
188,15.99645,120.73265,6106.75,20
189,15.81793,120.48898,57550.7647058823,17
190,16.03597,120.59397,34020.1818181818,11
191,16.03676,120.282,-4317.70588235294,17
192,15.83488,120.19465,-65830.5,18
193,15.96938,120.3341,53527.96,25
194,16.01355,120.38584,32544.0625,16
195,15.94126,119.98688,-4469.33333333333,15
196,16.03097,120.47357,12343.95,20
197,16.0376,120.40391,21812.9032258065,31
198,16.03797,120.46669,17717.8,20
199,15.8793,120.65879,3351.19047619048,21
200,15.95179,120.31829,-25754.1428571429,21
201,15.97724,120.33461,2525.16666666667,18
202,16.06527,120.66575,8506.78947368421,19
203,16.00419,120.40321,45770.7894736842,19
204,15.88937,120.65025,-2391,17
205,16.0609,120.72923,63557.3,20
206,15.82389,120.38868,-52101.1052631579,19
207,15.82761,120.53431,14979.375,16
208,20.73406,121.84371,-2864.29411764706,17
209,17.92225,121.70908,-19407.9411764706,17
210,17.89197,121.6535,-1706.88888888889,18
211,17.82948,121.66753,-92038.4166666667,12
212,18.21202,121.56453,73687.1176470588,17
213,17.99195,121.81584,-140095.136363636,22
214,18.50411,121.11079,32866.8666666667,15
215,18.56182,121.21553,97573.2777777778,18
216,17.89625,121.57631,-32281.1176470588,17
217,17.6191,121.57235,-68157.5294117647,17
218,17.57715,121.71197,82189.5555555556,18
219,17.46767,121.75955,49237.7857142857,14
220,16.8356,121.75131,-29788.8888888889,18
221,16.98811,121.9542,4761,19
222,16.92211,121.82409,-48102.5263157895,19
223,16.65451,121.46941,17118.6842105263,19
224,17.13425,121.87689,70103.6470588235,17
225,16.56494,121.78619,17377.4375,16
226,17.16798,121.60901,13487.5384615385,13
227,17.17055,121.57835,-13776.619047619,21
228,17.28229,121.60655,10546.4,15
229,17.02904,121.63783,-22192.7647058824,17
230,16.57865,121.77931,23953.5882352941,17
231,16.98086,121.57991,11397.6842105263,19
232,17.05484,121.66474,31610.8421052632,19
233,16.88276,121.60834,34116.4444444444,18
234,16.60526,121.57851,59938.6923076923,13
235,16.6724,121.23673,18488.4,20
236,16.46061,121.16245,-3603.31818181818,22
237,16.40834,121.08963,74946.2142857143,14
238,16.46068,121.29338,-36807.5909090909,22
239,16.50027,121.50616,987.785714285714,14
240,16.3117,121.55021,-55236.4375,16
241,14.70485,120.50195,42914.1578947368,19
242,14.92108,120.49771,67642.6666666667,18
243,14.84794,120.49022,30468,17
244,14.64847,120.26706,57544.5,20
245,14.93907,120.9014,81676.375,16
246,14.73898,120.96189,37407.1111111111,27
247,14.7115,120.89516,90308.9411764706,17
248,14.86303,120.80921,84220.3076923077,13
249,14.8123,120.86546,120430.238095238,21
250,14.83471,120.88069,119740.9375,16
251,14.77176,120.96341,99823.5714285714,28
252,14.74102,121.05792,7152.82608695652,23
253,14.72704,120.98387,71073.3157894737,19
254,14.73306,121.03913,26870.9166666667,24
255,14.89114,120.96107,42636.1428571429,21
256,14.95389,120.83233,30893.4545454545,22
257,14.79869,121.06105,81430.875,16
258,14.80472,121.09045,76126.1333333333,15
259,15.25078,121.04658,31899.5,14
260,15.23624,120.98635,33519.2777777778,18
261,15.476,120.81823,22996,17
262,15.98285,121.02746,-53404.6470588235,17
263,15.799,120.69853,17885.1304347826,23
264,15.50021,121.33106,-3998.94736842105,19
265,15.21988,120.94176,69436.5555555556,18
266,15.31071,121.02583,38600.9444444444,18
267,15.43644,120.84539,11156.7368421053,19
268,15.42843,120.7348,-19931.2666666667,15
269,15.49195,121.09895,77834.5625,16
270,15.30994,121.02678,34703.5,20
271,15.28976,120.87059,47923.3333333333,21
272,15.76591,120.96261,55134.2941176471,17
273,15.17246,120.61813,85457.25,4
274,15.13794,120.61005,82948.1818181818,11
275,15.1262,120.6016,91854.6470588235,17
276,14.96241,120.78865,70739.8181818182,11
277,15.01576,120.45607,68892.2941176471,17
278,14.86935,120.54497,40674.6666666667,9
279,15.22064,120.60118,68382.6666666667,6
280,15.19849,120.57161,77098.9,10
281,15.22696,120.5948,113070.5,14
282,14.96404,120.70783,98369.2142857143,14
283,15.2902,120.71881,11455.4761904762,21
284,15.03141,120.69631,66754.1333333333,15
285,15.01916,120.77192,18033.2222222222,9
286,15.01007,120.75953,62173.3636363636,22
287,15.33581,120.55864,34141.5,6
288,15.33862,120.63834,21018.9166666667,24
289,15.69461,120.64307,-14843.4666666667,15
290,15.71406,120.5286,-53364.25,20
291,15.62398,120.65999,21923.9285714286,14
292,15.75859,120.61253,20487.8888888889,18
293,15.52188,120.68714,40890.5172413793,29
294,15.50493,120.60156,60684.55,20
295,14.84686,120.27088,60005.8333333333,18
296,15.07835,120.0953,23317.5625,16
297,15.7726,119.9306,41428,19
298,15.72296,120.05385,-53155.7058823529,17
299,15.18757,120.02725,-51905.5,20
300,13.90188,120.91391,44354,21
301,13.79796,120.99906,93206.2352941177,17
302,14.01278,120.92574,31441.9545454545,22
303,13.91101,121.14152,74637.2666666667,15
304,14.01402,121.16131,86462.2777777778,18
305,13.89025,121.09306,75725.5294117647,17
306,13.71906,121.40785,9724.28571428571,14
307,13.81403,121.04781,41868.1176470588,17
308,13.96839,120.97886,61074.9333333333,15
309,14.13982,121.1205,70216.4615384615,26
310,14.17613,121.15051,53183.0869565217,23
311,14.0918,120.96319,56784.1739130435,23
312,13.59676,120.91637,-25606.6153846154,13
313,14.36773,120.99082,160529.8,5
314,14.41616,121.00467,150339,5
315,14.4761,120.94654,47590.7,30
316,14.50398,120.96075,39095,5
317,14.31169,120.94663,96982.5263157895,19
318,14.33016,120.96332,96152.5454545455,11
319,14.30009,120.97867,102240.95,20
320,14.26604,120.90782,80751.4,20
321,14.28954,120.92211,92903.6666666667,12
322,14.41253,120.89361,98796.6363636364,11
323,14.39609,120.93387,140072.4,15
324,14.48178,120.89789,96468.5789473684,19
325,14.21833,120.77942,41126.4705882353,17
326,14.4181,120.86885,57156.4375,16
327,14.4269,120.84395,41020.2941176471,17
328,14.27559,121.01144,58508.8823529412,17
329,14.20861,120.94619,88659.6,20
330,14.06909,121.2622,98789.1818181818,11
331,14.34258,121.09082,10994.2222222222,9
332,14.30368,121.05175,128058.043478261,23
333,14.16688,121.06956,32408.3076923077,13
334,14.15121,121.15485,57058,12
335,14.2073,121.09894,90023.7692307692,26
336,14.19733,121.15787,43213.8125,16
337,14.28146,121.50481,1714.5,18
338,14.12771,121.39016,93358.0714285714,14
339,14.12244,121.42546,35938.0666666667,15
340,14.35699,121.45608,53795.2142857143,14
341,14.08333,121.30803,100154.533333333,15
342,14.08017,121.31791,62901.75,20
343,14.07058,121.28184,59378.0666666667,15
344,14.36996,121.04881,150343.75,28
345,14.28178,121.09506,93915.4516129032,31
346,13.55469,122.25359,-35508.8571428571,21
347,14.71875,121.49312,-63997.8,20
348,14.0571,122.42021,8689.05555555555,18
349,14.10276,121.51306,101841.266666667,15
350,13.90377,121.59783,95707,4
351,14.05489,121.77847,-10988.8571428571,21
353,13.88274,121.45813,31724.8888888889,18
354,13.92314,121.56146,25060.7777777778,18
355,14.07048,122.39106,-119102.571428571,14
356,13.98415,121.2974,34365.3333333333,18
357,14.56581,121.14226,100436.533333333,15
358,14.67604,121.18632,-88051.7777777778,9
359,14.62126,121.15226,110084.7,10
360,14.58338,121.24229,-59527.8333333333,6
361,14.61073,121.14272,78737.875,8
362,14.58407,121.20717,65281.25,8
363,14.72676,121.25644,-17452.1904761905,21
364,14.56297,121.17838,106444.666666667,3
365,14.34168,121.22144,19515.2,10
366,14.59696,121.11008,71402.4,5
367,14.59128,121.13645,159494.636363636,11
368,14.76145,121.24367,35900.75,8
369,14.54373,121.24483,90211.5,6
370,14.35659,121.34019,67078,10
371,14.39615,121.3543,65279.1538461538,26
372,14.69499,121.11697,65634.1666666667,24
373,14.59467,121.15673,83209.75,12
374,14.55731,121.11335,67758.5714285714,14
375,13.39112,121.86518,-26651.5263157895,19
376,13.28483,121.88965,-39780.6,20
377,13.55294,121.84563,9541.33333333333,15
378,12.30899,121.17431,51403.5,10
379,13.47467,120.47811,-75584.4210526316,19
380,13.29517,120.57182,-123449.764705882,17
381,12.44091,121.05301,-82118.2222222222,18
382,13.22987,120.81695,-5644,2
383,13.42215,121.20392,42599.3684210526,19
384,12.51045,121.33759,-32590.9411764706,17
385,13.08986,121.08556,-18161.9523809524,21
386,13.2518,121.1178,-48500.7647058823,17
387,12.9791,121.40982,-31449.65,20
388,13.04874,121.44188,40778.6,10
389,13.06042,121.49342,-3662.68421052632,19
390,13.52924,121.00806,-33861.4736842105,19
391,13.15603,121.19478,-34808.1,20
392,8.57635,117.47874,-142439.235294118,17
393,8.85753,117.8288,-159657.814814815,27
394,9.06945,118.12936,-160505.772727273,22
395,9.2907,118.44152,9625.75,16
396,9.71319,118.72619,14526.75,16
397,9.75969,118.73983,-14383.7407407407,27
398,10.33528,119.30807,-6943.56,25
399,10.54016,119.33102,-30686.2,20
400,10.7367,119.48738,-58910.2857142857,14
401,10.67319,119.50301,-96741.4117647059,17
402,8.53181,117.33417,-168031.388888889,18
403,12.38041,122.62518,-42086.3529411765,17
404,12.49814,122.08905,-62678.75,12
405,12.47702,122.35832,-120396.6,15
406,12.23168,121.99435,-102755.85,20
407,13.19069,123.59964,-13443.6842105263,19
408,13.15014,123.70336,86099.8421052632,19
409,13.08086,123.77401,-58356.8888888889,18
410,13.13891,123.75735,135097.125,16
411,13.15386,123.3648,-38928.2352941177,17
412,13.09638,123.37969,-93296.8888888889,18
413,13.38752,123.44663,32949.6,20
414,13.26646,123.75221,-15200.8695652174,23
415,13.355,123.71538,20741,17
416,14.03748,122.91543,-56774.7142857143,21
417,14.10474,122.96385,30384.2222222222,27
418,14.03627,122.35048,-42497.7894736842,19
419,14.24394,122.90876,73031.1,20
420,13.5263,123.4014,-125921.833333333,18
421,13.64823,123.16451,20215.9411764706,17
422,13.62142,123.1564,73392.8421052632,19
423,13.69642,123.12078,-67964.5,14
424,13.56872,122.99133,18845.8,20
425,13.66188,123.00133,-17980.2352941176,17
426,13.68722,123.04834,31124.55,20
427,13.60437,123.21882,-21572.6315789474,19
428,13.63617,123.21304,63711.4074074074,27
429,13.57757,122.9367,-134617.866666667,15
430,13.48907,123.2701,-19381.4761904762,21
431,13.80113,122.97232,-112598,17
432,13.96425,124.18041,-94043.6875,16
433,14.02976,124.15077,-39156.4666666667,15
434,11.85106,123.21088,-82128.2941176471,17
435,11.82612,123.11964,-43731.8125,16
436,12.2574,123.55362,-80639.25,20
437,12.56648,123.6219,-128014.333333333,18
438,12.18057,123.68686,-156337.222222222,18
439,12.32569,123.81467,-107734.947368421,19
440,12.68824,123.94597,-122774.882352941,17
441,12.66566,124.15675,-4785.11111111111,18
442,12.93715,123.79749,-46608.5238095238,21
443,12.62153,124.10033,-50048.5789473684,19
444,12.96625,124.02346,54339.6071428571,28
445,12.96967,124.00869,17193.4705882353,17
446,11.60764,122.50175,-59341.7083333333,24
447,11.66216,122.36846,19545.4827586207,29
448,11.68081,122.49152,5523.80952380952,21
449,10.4617,121.88762,-24331.5833333333,24
450,11.48722,122.06735,-101486.818181818,22
451,11.03246,122.10188,-113074.210526316,19
452,11.34412,122.65185,-30052.6666666667,18
453,11.46553,122.55261,-60067.5882352941,17
454,11.4345,122.74149,-50696.4117647059,17
455,11.62657,122.7236,928.875,16
456,11.63584,122.73771,57094.4230769231,26
457,11.19979,123.11444,-83166.4736842105,19
458,10.9191,122.7097,43912.0434782609,23
459,11.22919,123.17893,-115975.666666667,24
460,11.43006,123.12417,-20895.375,16
461,10.66516,122.22794,-45664.4444444444,18
462,10.70574,122.55384,76294.0434782609,23
463,10.76331,122.59064,-2647.41666666667,24
464,10.73162,122.55764,60655.5625,16
465,10.94102,122.46673,-34903.8695652174,23
466,10.77553,122.41485,-23315.8636363636,22
467,10.96082,122.4033,-64583.0434782609,23
468,10.74545,122.52757,63234.3125,32
469,10.9162,122.6988,-12139.3333333333,21
470,11.08171,122.83936,-46408.3333333333,18
471,10.7057,122.968,-32104,3
472,10.6807,122.99234,64708.6666666667,15
473,10.65487,122.97781,12402.8,25
474,10.65015,122.96099,73413.5,8
475,10.6795,122.97557,48366.7777777778,9
476,10.64119,122.98732,75753.7142857143,7
477,10.9811,123.30767,20265.5882352941,17
478,10.86988,123.19976,-57060.5,20
479,10.87508,123.31023,-89626.8,20
480,10.71916,123.38138,-63309.2272727273,22
481,9.91639,122.94893,-108887.25,12
482,10.09351,122.91092,-81075.5454545455,11
483,10.30467,122.81724,1743.45,20
484,9.79977,122.79668,-70489.0833333333,12
485,10.47144,123.0294,-1800.88235294118,17
486,10.37047,122.99919,38145.0833333333,24
487,10.62783,123.01525,2671.76,25
488,10.74915,123.51316,-88854,14
489,10.87101,123.35353,-72075.5,22
490,10.45335,123.29449,-140222.55,20
491,9.76919,122.56296,-170667.142857143,7
492,10.70278,122.96651,38968.2352941177,17
493,10.69772,122.61248,20507.1363636364,22
494,9.92067,124.03716,3237.61904761905,21
495,9.61162,123.76877,26393.4782608696,23
496,9.6756,124.38346,-32775.2,20
497,10.08444,124.06993,-45690.1875,16
498,9.62933,123.99944,24971.7368421053,19
499,9.93606,124.51946,-89413.4,20
500,9.66832,123.85025,50712.7777777778,9
501,10.24361,124.3662,-41300.3529411765,17
502,9.9261,123.44051,-57259.1111111111,18
503,9.8975,123.60884,15093.1904761905,21
504,10.54877,123.7544,-39446.2222222222,18
505,10.44865,123.80261,-50467.7058823529,17
506,11.06394,123.95643,-32742.8947368421,19
507,10.12615,123.62202,-50972.9473684211,19
508,10.09843,123.61399,72600.4285714286,7
509,10.2905,123.83952,99210.4,20
510,10.35318,123.86586,110215.428571429,7
511,10.27166,123.85308,51126.8,15
512,10.35355,123.89519,72070,13
513,10.28265,123.88961,44365.3333333333,3
514,10.2825,123.87043,121365.923076923,13
515,10.29927,123.88339,107864,12
516,10.3712,123.96948,45388.1923076923,26
517,10.48823,123.95381,-6617.84615384615,26
518,10.27805,123.93541,89479.4444444444,9
519,10.26649,123.9899,22689.2222222222,18
520,10.29272,123.98441,7596.71428571429,28
521,10.31985,124.02973,6111.76923076923,13
522,10.39017,123.94178,24365.625,24
523,10.36419,123.95079,-6256.47368421053,19
524,10.222,123.69089,-7131.47368421053,19
525,10.94603,123.92636,-12922.7647058824,17
526,10.91456,123.92296,-75939.9411764706,17
527,10.23394,123.8405,49826.48,25
528,10.22062,123.81491,57774.08,25
529,10.32575,123.66678,-26030.1666666667,12
530,9.53661,123.06619,-9132.41935483871,31
531,9.77422,122.80033,-142162.571428571,14
532,9.31026,123.22884,18415.1904761905,21
533,10.02533,123.20041,-139725.888888889,18
534,9.7639,122.98808,-116183.5,20
535,9.12509,123.02524,-144001,23
536,9.35201,123.10246,-55998,17
537,9.52193,123.1113,27838.619047619,21
538,9.18252,123.08737,-119970.666666667,12
539,9.12683,123.64614,-91628.7272727273,11
540,12.05312,125.29951,-109868.1875,16
541,11.91639,125.46732,-141395.533333333,15
542,10.90187,125.80439,-16998.2631578947,19
543,11.8346,125.49505,62543.8823529412,17
544,10.39303,124.82393,-49609.0526315789,19
545,10.79457,124.8342,-34530.4761904762,21
546,11.22829,124.63859,-81956,17
547,10.30007,124.74182,-22350.619047619,21
548,11.16492,124.77125,-12290.5625,16
549,10.69977,124.96392,-52003.8421052632,19
550,10.89585,124.97889,-89883.0555555556,18
551,11.27906,124.50881,-99650.2,10
552,10.72256,124.94313,-21443.8947368421,19
553,11.16596,124.6703,-33348,14
554,11.05215,124.53321,-29814.2352941176,17
555,10.94838,124.41852,-62376.3157894737,19
556,11.0529,124.39208,-20960.0384615385,26
557,11.21949,124.98186,-14571.2380952381,21
558,11.13808,124.41893,-113364.294117647,17
559,11.20956,124.3815,-42028.1739130435,23
560,12.51715,124.64416,-16029.6842105263,19
561,12.33908,125.03606,58827.9411764706,17
562,12.34307,125.00636,-117260.533333333,15
563,12.52769,124.4142,-50218.9130434783,23
564,12.0669,124.60172,99556.3684210526,19
565,12.04228,124.60154,-26205.9047619048,21
566,12.21354,124.46822,-91234.3846153846,13
567,11.65799,124.76927,-75898.8888888889,18
568,11.85264,125.00092,-10726.75,24
569,11.88877,125.03266,-87304.7333333333,15
570,10.4285,124.94681,-94602.1176470588,17
571,10.42186,125.13589,13149.1739130435,23
572,9.94322,125.28618,-34946.9,20
573,11.62417,124.38969,61149.3076923077,13
574,11.55099,124.39369,70602.5,8
575,8.59184,123.35838,15214.2307692308,13
576,8.57345,123.34973,17236.71875,32
577,8.10967,122.66637,-26482.625,16
578,8.12017,122.6439,-48214.4666666667,15
579,8.43244,123.19006,-146006.714285714,14
580,8.21495,123.42385,-129382.615384615,13
581,7.30247,122.0354,-46347.0588235294,17
582,8.20093,122.95306,-86956.2666666667,15
583,8.28201,122.99752,-108958.384615385,13
584,7.56144,122.07918,-151720.583333333,24
585,7.95559,123.57235,18315,24
586,8.14843,123.32226,-49723.4285714286,14
587,7.77815,123.50394,-30328.6428571429,14
588,7.97101,123.32254,-67193.75,12
589,8.21459,123.5055,-123776.8125,16
590,7.90215,123.32071,-149459.2,15
591,7.5243,123.44708,-101032.3,10
592,7.92404,123.48811,-49523.375,16
593,7.92839,123.5753,-9459.71428571429,7
594,6.90608,122.06535,31135.0833333333,12
595,7.21395,122.17455,-48978.85,20
596,6.92789,122.09124,54972.7,20
597,7.00823,122.19236,10199.5,18
598,6.94601,122.07276,101314.466666667,15
599,6.90063,122.03508,75507.347826087,23
600,6.94476,121.94762,27013.25,8
601,6.95138,122.05413,40981.25,8
602,6.91349,122.07805,50117.7058823529,17
603,6.91893,122.10973,89266.3636363636,11
604,6.9368,122.08015,48277.2857142857,14
605,6.91053,122.07618,35446.125,8
606,7.89743,123.40126,-155932.636363636,11
607,7.43955,122.82491,-169597.333333333,18
608,7.96166,123.07921,-84595.04,25
609,0,0,49748.2,56
610,7.60317,123.31913,-126362.733333333,15
611,7.6907,123.04088,-96157.5625,16
612,6.66082,122.05213,-41035.6153846154,13
613,8.18991,124.79183,-83887.0666666667,15
614,7.69396,124.8867,-76484.1875,16
615,7.64608,124.90533,-59531.6923076923,13
616,8.30214,124.74419,50600.3571428571,14
617,8.18922,125.01753,-32223.3157894737,19
618,7.83537,124.941,3213.28571428571,7
619,7.77603,125.01933,-52024.25,16
620,8.09921,124.82201,-138728,27
621,8.00332,124.64683,-122518.8,10
622,7.88676,125.08221,-21028.3461538462,26
623,9.24489,124.71866,714.625,16
624,8.11564,124.06695,-23724.5789473684,19
625,8.0762,124.21308,-2423.71428571429,21
626,8.01528,123.78489,-67658.5454545455,22
627,8.19996,124.2492,130520.076923077,13
628,8.10813,124.28222,-83806.8666666667,15
629,8.17814,124.2569,120218.111111111,9
630,8.35358,124.30484,-93113,3
631,7.8283,123.82637,-80200.6875,16
632,8.31424,123.78958,-21660.7826086957,23
633,8.14017,123.81466,20256.6842105263,19
634,8.58082,123.72036,13808.0952380952,21
635,8.40606,123.85834,-52754.8928571429,28
636,8.2923,123.84582,-67240.05,20
637,8.74467,124.84516,-8624.29411764706,17
638,8.48565,124.76268,58855.7777777778,18
639,8.4357,124.62454,105418.785714286,14
640,8.47213,124.66098,39418.5,4
641,8.48939,124.5821,104030.736842105,19
642,8.44022,124.68528,68.2222222222222,9
643,8.47361,124.6736,52380,12
644,8.45187,124.648,15594.5,4
645,8.67663,124.94976,-68213,14
646,8.45645,124.48133,-14444.25,24
647,8.63098,124.71838,51728.6666666667,15
648,8.45715,124.30514,-67946.65,20
649,8.37332,124.34658,-25114.8823529412,17
650,8.86841,124.79178,-239.352941176471,17
651,7.8157,125.91031,-131103.7,20
652,7.54924,125.74681,-84024.7727272727,22
653,7.67185,125.71574,23427.8636363636,22
654,7.78076,125.58834,-118732.25,28
655,7.58276,125.83679,-5587.46875,32
656,7.51734,125.77095,24506.2857142857,7
657,7.43295,125.79078,36147.3846153846,13
658,6.74586,125.19254,22144.875,24
659,7.11642,125.4711,-21246.7647058824,17
660,7.03466,125.59872,72677.1363636364,22
661,7.26595,125.6365,-25592.8571428571,7
662,7.2016,125.44342,-26083.25,4
663,7.01565,125.48067,42548.0588235294,17
664,7.07664,125.57318,88018.6875,16
665,7.17879,125.57572,110666.714285714,7
