"lat","lon","nl_mean","nl_min","nl_max","nl_median","nl_sd","cluster","wealthscore","n"
10.02533,123.20041,0,0,0,0,0,533,-139725.888888889,18
10.05517,125.59364,0.272727272727273,0,4,0,0.958151228777956,786,-42632.652173913,23
10.08444,124.06993,0.207792207792208,0,4,0,0.890584919602759,497,-45690.1875,16
10.09351,122.91092,2.03896103896104,0,9,0,2.98335933143041,482,-81075.5454545455,11
10.09843,123.61399,5.18181818181818,0,12,5,2.93381133684328,508,72600.4285714286,7
10.12615,123.62202,5.61688311688312,0,12,5,2.60265839948676,507,-50972.9473684211,19
10.22062,123.81491,16.0933333333333,4,49,13.5,11.4524676668374,528,57774.08,25
10.222,123.69089,6.75151515151515,0,26,5,4.99805579347691,524,-7131.47368421053,19
10.23394,123.8405,19.630303030303,4,57,15,15.1037970683938,527,49826.48,25
10.24361,124.3662,0,0,0,0,0,501,-41300.3529411765,17
10.26649,123.9899,22.5852272727273,4,62,15,17.8755573884579,519,22689.2222222222,18
10.27166,123.85308,33.26875,7,63,31.5,17.2359584177561,511,51126.8,15
10.27805,123.93541,35.2272727272727,6,63,34,19.8760313789404,518,89479.4444444444,9
10.2825,123.87043,37.9261363636364,8,63,38.5,18.0038154325651,514,121365.923076923,13
10.28265,123.88961,40.1818181818182,9,63,43,17.8204027240339,513,44365.3333333333,3
10.2905,123.83952,32.8983957219251,5,63,31,19.6273165907171,509,99210.4,20
10.29272,123.98441,33.2513368983957,6,63,30,20.0688582331865,520,7596.71428571429,28
10.29927,123.88339,43.2459893048128,8,63,48,17.6992018063112,515,107864,12
10.30007,124.74182,0.74331550802139,0,4,0,1.49133544899358,547,-22350.619047619,21
10.30467,122.81724,1.37058823529412,0,6,0,2.21833796355984,483,1743.45,20
10.31985,124.02973,22.5151515151515,0,63,12.5,21.3355420137997,521,6111.76923076923,13
10.32575,123.66678,5.88770053475936,4,11,5,1.75462784589222,529,-26030.1666666667,12
10.33528,119.30807,0.427807486631016,0,5,0,1.28216760573295,398,-6943.56,25
10.35318,123.86586,30.4141414141414,5,63,21,22.4298161338242,510,110215.428571429,7
10.35355,123.89519,40.0722222222222,7,63,44.5,20.8004701696849,512,72070,13
10.36419,123.95079,37.8708133971292,7,63,36,18.6157387869836,523,-6256.47368421053,19
